mechanism,horizon_h1,currency,sample_count,mean_forward_atr,t_stat,role
S3-04,8,JPY,59.0,-0.1496041221308019,-0.7099512322925586,quote
S3-04,8,USD,219.0,-0.11881793775927012,-0.8937357684996257,quote
S3-05,4,AUD,3583.0,0.007717978604498357,0.3122653951302889,quote
S3-05,4,CAD,1227.0,-0.03520623565721956,-0.7569549640734302,quote
S3-05,4,CHF,1453.0,-0.057136898466979204,-1.1887073692064773,quote
S3-05,4,GBP,1176.0,-0.0457938379878024,-0.793822690013066,quote
S3-05,4,JPY,8824.0,-0.014000433641442893,-0.8761463221580034,quote
S3-05,4,USD,6223.0,0.0040740461928136535,0.2085095779361378,quote
S3-05,8,AUD,3583.0,-0.04173505247126779,-1.1557429568440858,quote
S3-05,8,CAD,1227.0,0.019200097078682987,0.31587412319683666,quote
S3-05,8,CHF,1453.0,-0.08903194165888788,-1.352286201660056,quote
S3-05,8,GBP,1176.0,-0.01313554961495232,-0.17656682631182471,quote
S3-05,8,JPY,8824.0,-0.05812801769383595,-2.588564082796442,quote
S3-05,8,USD,6223.0,-0.026902562655167914,-0.9627258796678471,quote
S3-06,4,AUD,1015.0,-0.022005286560919397,-0.47623691295437753,quote
S3-06,4,CAD,363.0,-0.19131331292820697,-2.802393457860089,quote
S3-06,4,CHF,270.0,-0.06594430912235628,-0.6897745901393725,quote
S3-06,4,GBP,305.0,0.013911509766561782,0.1398089363069748,quote
S3-06,4,JPY,867.0,0.00679082087374184,0.14742313047935243,quote
S3-06,4,USD,1771.0,-0.0182963469732954,-0.5396736622114687,quote
S3-06,8,AUD,1015.0,-0.08589986738738374,-1.2870834639092616,quote
S3-06,8,CAD,363.0,-0.1023520099257742,-1.1012730359608003,quote
S3-06,8,CHF,270.0,-0.036250786712417424,-0.28503474818756847,quote
S3-06,8,GBP,305.0,0.09062150756356671,0.7094674369242234,quote
S3-06,8,JPY,867.0,-0.0454795345239189,-0.6140457599256139,quote
S3-06,8,USD,1771.0,-0.0687845415567253,-1.3558617152892558,quote
