mechanism,horizon_h1,pair,sample_count,mean_forward_atr,t_stat
S3-05,8,AUDUSD,841.0,0.011263051963771389,0.14494105039492725
S3-05,8,CADJPY,2605.0,-0.0610747049343193,-1.5176359526386425
S3-05,8,CHFJPY,1971.0,-0.13466916263253925,-2.859268636980284
S3-05,8,EURAUD,1826.0,-0.03881767076403353,-0.7883575106277492
S3-05,8,EURGBP,1176.0,-0.01313554961495232,-0.17656682631182471
S3-05,8,EURJPY,742.0,-0.06875907681674136,-0.8948424298427387
S3-05,8,EURUSD,376.0,-0.0640529894683863,-0.44555151400268017
S3-05,8,GBPAUD,1757.0,-0.04476700409187665,-0.8451460773281536
S3-05,8,GBPJPY,1240.0,-0.04931714274314638,-0.7966869210774236
S3-05,8,GBPUSD,510.0,0.04272371364857738,0.3262964518316834
S3-05,8,NZDUSD,4496.0,-0.038832750005627865,-1.2800311919505696
S3-05,8,USDCAD,1227.0,0.019200097078682987,0.31587412319683666
S3-05,8,USDCHF,1453.0,-0.08903194165888788,-1.352286201660056
S3-05,8,USDJPY,595.0,0.12161690086284313,1.3529129612608575
S3-06,4,AUDJPY,154.0,0.2066915728151161,2.0630778743731497
S3-06,4,AUDUSD,228.0,-0.027102976433577352,-0.277494194115995
S3-06,4,CADJPY,277.0,0.06339190002910164,0.8470772312965633
S3-06,4,CHFJPY,161.0,-0.1219001455032981,-0.9544484699063592
S3-06,4,EURAUD,523.0,-0.056473142634048526,-0.8773050286205858
S3-06,4,EURGBP,305.0,0.013911509766561782,0.1398089363069748
S3-06,4,EURJPY,88.0,-0.071330982855964,-0.39456891574643427
S3-06,4,EURUSD,98.0,-0.09822202332861356,-0.7633925683032323
S3-06,4,GBPAUD,492.0,0.014634324671289008,0.22041602556000625
S3-06,4,GBPJPY,121.0,-0.09068763670332565,-0.8368776785899945
S3-06,4,GBPUSD,133.0,-0.023687805732798134,-0.13105467100628687
S3-06,4,NZDUSD,1312.0,-0.010249325773006268,-0.27567458002073336
S3-06,4,USDCAD,363.0,-0.19131331292820697,-2.802393457860089
S3-06,4,USDCHF,270.0,-0.06594430912235628,-0.6897745901393725
S3-06,4,USDJPY,66.0,-0.10039640705449429,-0.7572962492494182
S3-06,8,AUDJPY,154.0,0.19632622209399514,0.9930694984160651
S3-06,8,AUDUSD,228.0,-0.11474920936186511,-0.8359055120635455
S3-06,8,CADJPY,277.0,0.08514687904037621,0.7019567678287508
S3-06,8,CHFJPY,161.0,-0.44411123735549524,-2.318732780103253
S3-06,8,EURAUD,523.0,-0.10109051634769625,-1.0489757999850888
S3-06,8,EURGBP,305.0,0.09062150756356671,0.7094674369242234
S3-06,8,EURJPY,88.0,0.11114808485449802,0.4145928015748951
S3-06,8,EURUSD,98.0,-0.10607225775423162,-0.5208096890181825
S3-06,8,GBPAUD,492.0,-0.06975208404136048,-0.7574488513848994
S3-06,8,GBPJPY,121.0,-0.21430509671286613,-1.4009020314756524
S3-06,8,GBPUSD,133.0,0.18769636500248824,0.7054363949908996
S3-06,8,NZDUSD,1312.0,-0.08401153860356057,-1.493110580936433
S3-06,8,USDCAD,363.0,-0.1023520099257742,-1.1012730359608003
S3-06,8,USDCHF,270.0,-0.036250786712417424,-0.28503474818756847
S3-06,8,USDJPY,66.0,-0.0848316012060828,-0.4000199907112572
