pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf
GBPUSD,2018-01-02 12:00:00,2018-01-02 12:00:00,2018-01-03 17:00:00,1,135492.0,135485.0,135015.30301794043,136683.74245514895,135007.30301794043,SL,-1.016782149459863,317.79798803972005,m30
GBPUSD,2018-01-15 12:00:00,2018-01-15 12:00:00,2018-01-19 11:30:00,1,137916.0,137909.0,137303.20807292563,139447.9798176859,139439.9798176859,TP,2.4869449977283336,408.5279513829116,m30
GBPUSD,2018-01-24 08:00:00,2018-01-24 08:00:00,2018-01-24 15:30:00,1,140335.0,140327.0,139707.46049133426,141903.84877166434,141895.84877166434,TP,2.487251798668394,418.3596724438269,m30
GBPUSD,2018-01-25 08:00:00,2018-01-25 08:00:00,2018-01-25 21:00:00,1,142988.0,142980.0,142192.50126783596,144976.74683041006,142184.50126783596,SL,-1.0100565842238993,530.3324881093492,m30
GBPUSD,2018-02-01 12:00:00,2018-02-01 12:00:00,2018-02-02 15:30:00,1,142490.0,142483.0,141546.59245508752,144848.51886228117,141538.59245508752,SL,-1.0084798982615195,628.938363274981,m30
GBPUSD,2018-02-15 12:00:00,2018-02-15 12:00:00,2018-02-16 16:00:00,1,140608.0,140600.0,139758.0565234437,142732.85869139075,140252.0,FRIDAY,-0.4188513822617927,566.6289843708669,m30
GBPUSD,2018-02-26 08:00:00,2018-02-26 08:00:00,2018-02-26 17:00:00,1,140189.0,140182.0,139495.68746965914,141922.28132585218,139487.68746965914,SL,-1.0115388077524807,462.20835356058024,m30
GBPUSD,2018-04-09 12:00:00,2018-04-09 12:00:00,2018-04-12 17:30:00,1,141114.0,141106.0,140608.06295181674,142378.8426204582,142370.8426204582,TP,2.4841877561077665,337.29136545551535,m30
GBPUSD,2018-04-16 16:00:00,2018-04-16 16:00:00,2018-04-18 11:30:00,1,143127.0,143119.0,142586.48878506097,144478.2780373476,142578.48878506097,SL,-1.0148008029785167,360.34080995936125,m30
GBPUSD,2018-06-19 16:00:00,2018-06-19 16:00:00,2018-06-21 14:30:00,-1,131694.0,131703.0,132269.9334206322,130254.16644841946,132277.9334206322,SL,-1.0138904944797495,383.9556137548094,m30
GBPUSD,2018-06-27 16:00:00,2018-06-27 16:00:00,2018-06-29 11:30:00,-1,131521.0,131530.0,132077.1317291758,130130.67067706048,131513.0,BE,0.014385081052390319,370.7544861172062,m30
GBPUSD,2018-07-13 12:00:00,2018-07-13 12:00:00,2018-07-13 16:00:00,-1,131277.0,131285.0,131845.92455828257,129854.68860429357,131555.0,FRIDAY,-0.4886412371425943,379.28303885504806,m30
GBPUSD,2018-07-19 16:00:00,2018-07-19 16:00:00,2018-07-19 20:00:00,-1,129619.0,129627.0,130276.90424226958,127974.23939432607,130284.90424226958,SL,-1.0121598243118293,438.60282817971546,m30
GBPUSD,2018-08-02 12:00:00,2018-08-02 12:00:00,2018-08-02 14:00:00,-1,130810.0,130818.0,131244.2158947229,129724.46026319273,131252.2158947229,SL,-1.0184240146370027,289.4772631486063,m30
GBPUSD,2018-08-03 12:00:00,2018-08-03 12:00:00,2018-08-03 14:30:00,-1,129927.0,129935.0,130414.95391324135,128707.11521689664,130422.95391324135,SL,-1.016394990967201,325.30260882756403,m30
GBPUSD,2018-08-06 12:00:00,2018-08-06 12:00:00,2018-08-09 10:30:00,-1,129619.0,129628.0,130095.1417411403,128428.64564714926,128436.64564714926,TP,2.483198280451446,317.4278274268648,m30
GBPUSD,2018-08-15 08:00:00,2018-08-15 08:00:00,2018-08-17 16:00:00,-1,127016.0,127024.0,127572.43061845697,125624.92345385758,127273.0,FRIDAY,-0.4618724985204527,370.95374563797793,m30
GBPUSD,2018-09-04 12:00:00,2018-09-04 12:00:00,2018-09-05 16:00:00,-1,128298.0,128305.0,128790.80896905014,127065.97757737465,128798.80896905014,SL,-1.0162334707816272,328.5393127000915,m30
