pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,holding_hours,entry_checkpoint_utc,weekday,trend_sep_atr,ema_slope_atr,breakout_atr,candle_atr,atr_pct_252,year,entry_weekday,friday_outcome,no_chase_displacement_atr
GBPUSD,2021-03-11 08:00:00,2021-03-11 08:00:00,2021-03-12 16:00:00,1,139398.0,139389.0,138762.9863863063,140985.53403423424,138845.0,FRIDAY,-0.8708474717311249,423.3424091291304,h4,32.0,8,Thursday,11.072678128146823,0.5535403786973275,0.02834584898943987,0.36377172869781166,0.7261904761904762,2021,Thursday,FRIDAY_LOSS,0.021259386742079903
GBPUSD,2021-04-20 08:00:00,2021-04-20 08:00:00,2021-04-20 16:00:00,1,140034.0,140026.0,139482.31894814133,141413.20262964666,139474.31894814133,SL,-1.014501132444277,367.7873679057808,h4,8.0,8,Tuesday,10.10945098858649,0.2037226246592817,0.23383076066394798,0.8782248336564558,0.3333333333333333,2021,Tuesday,NOT_FRIDAY,0.02175169866641376
GBPUSD,2021-05-10 12:00:00,2021-05-10 12:00:00,2021-05-13 08:00:00,1,140903.0,140899.0,140294.76362722018,142423.59093194953,140286.76362722018,SL,-1.0131527813166594,405.49091518654063,h4,68.0,12,Monday,8.763125989753085,0.3937747228658607,1.122096656075965,1.746031719784139,0.6785714285714286,2021,Monday,NOT_FRIDAY,0.009864585987481012
GBPUSD,2021-05-18 08:00:00,2021-05-18 08:00:00,2021-05-19 20:00:00,1,141718.0,141710.0,141228.28270447985,142942.29323880037,141220.28270447985,SL,-1.0163359556078415,326.4781970134292,h4,36.0,8,Tuesday,11.463321795020564,1.3406942125293275,0.38593695123480837,0.8637636527636188,0.11904761904761904,2021,Tuesday,NOT_FRIDAY,0.024503933411733864
GBPUSD,2021-06-01 08:00:00,2021-06-01 08:00:00,2021-06-01 08:00:00,1,142338.0,142332.0,141867.8665445369,143513.33363865773,141859.8665445369,SL,-1.0170164448138046,313.42230364206137,h4,0.0,8,Tuesday,12.822918987747416,1.3271307522563789,0.12762333610335952,0.7178812655813973,0.13095238095238096,2021,Tuesday,NOT_FRIDAY,0.019143500415503927
GBPUSD,2021-11-23 12:00:00,2021-11-23 12:00:00,2021-11-26 16:00:00,-1,133783.0,133790.0,134244.26536608735,132629.83658478162,133383.0,FRIDAY,0.8671797828503124,307.51024405823483,h4,76.0,12,Tuesday,2.2396525600014487,1.1630158845410894,0.1040615739420375,1.1544330859194785,0.11904761904761904,2021,Tuesday,FRIDAY_WIN,0.0227634692998207
USDJPY,2013-11-12 08:00:00,2013-11-12 08:00:00,2013-11-13 16:00:00,1,99642.0,99634.0,99205.61504795346,100732.96238011635,99198.61504795346,SL,-1.0160408830945566,290.9233013643616,h4,32.0,8,Tuesday,7.0376061527482205,0.294969482050332,0.1443679478509625,0.74246373180495,0.4444444444444444,2013,Tuesday,NOT_FRIDAY,0.027498656733516667
USDJPY,2013-11-14 12:00:00,2013-11-14 12:00:00,2013-11-15 16:00:00,1,100037.0,100028.0,99600.70532134164,101127.73669664592,100148.0,FRIDAY,0.2544152047449508,290.8631191055755,h4,28.0,12,Thursday,7.118665934327784,0.5026498660582338,0.7941880040011302,1.3958455827898653,0.38095238095238093,2013,Thursday,FRIDAY_WIN,0.0309423897662778
USDJPY,2013-11-21 08:00:00,2013-11-21 08:00:00,2013-11-22 16:00:00,1,100722.0,100712.0,100263.51795247088,101868.20511882282,101081.0,FRIDAY,0.7830186632927923,305.6546983527517,h4,32.0,8,Thursday,7.163207493879247,0.9841849991075524,0.6248881532963371,1.6423761934804253,0.5119047619047619,2013,Thursday,FRIDAY_WIN,0.03271665724064592
USDJPY,2013-11-25 08:00:00,2013-11-25 08:00:00,2013-11-25 20:00:00,1,101880.0,101870.0,101423.71231132314,103020.71922169215,101416.71231132314,SL,-1.0153411984888154,304.19179245124656,h4,12.0,8,Monday,7.524423716786771,1.1923170699500698,0.21368097895152013,0.9664955047961065,0.6785714285714286,2013,Monday,NOT_FRIDAY,0.03287399676177233
