pair,signal_dt,entry_dt,exit_dt,side,entry,signal_close,stop,target,exit,reason,r,atr,execution_tf,year
USDJPY,2014-12-04 08:00:00,2014-12-04 08:00:00,2014-12-04 16:00:00,1,119901.0,119896.0,119378.89263820011,121206.26840449974,119371.89263820011,SL,-1.0134072041732263,298.34706388565496,h4,2014
USDJPY,2014-12-05 12:00:00,2014-12-05 12:00:00,2014-12-05 16:00:00,1,120343.0,120336.0,119788.01333249272,121730.46666876822,121170.0,FRIDAY,1.490125886653202,317.13523857559187,h4,2014
USDJPY,2014-12-18 16:00:00,2014-12-18 16:00:00,2014-12-19 16:00:00,1,119242.0,119234.0,117821.98366912667,122792.04082718331,119072.0,FRIDAY,-0.11971693304079677,811.4379033561869,h4,2014
USDJPY,2014-12-22 12:00:00,2014-12-22 12:00:00,2014-12-26 16:00:00,1,119829.0,119823.0,118795.92837537274,122411.67906156817,120377.0,FRIDAY,0.5304569276091746,590.326642644154,h4,2014
USDJPY,2015-01-20 08:00:00,2015-01-20 08:00:00,2015-01-21 08:00:00,1,118294.0,118292.0,117344.35471234751,120668.11321913124,117337.35471234751,SL,-1.0073711733117716,542.6544500871381,h4,2015
USDJPY,2015-02-10 16:00:00,2015-02-10 16:00:00,2015-02-12 16:00:00,1,119489.0,119483.0,118804.14032856036,121201.1491785991,118797.14032856036,SL,-1.0102210719829452,391.3483836797944,h4,2015
USDJPY,2015-02-24 12:00:00,2015-02-24 12:00:00,2015-02-24 16:00:00,1,119520.0,119506.0,118965.0294832925,120907.42629176877,118958.0294832925,SL,-1.0126132826686407,317.1260095471471,h4,2015
USDJPY,2015-03-10 08:00:00,2015-03-10 08:00:00,2015-03-10 12:00:00,1,121798.0,121787.0,121185.50689361668,123329.23276595831,121178.50689361668,SL,-1.011428700057264,349.99606079047095,h4,2015
USDJPY,2015-04-13 12:00:00,2015-04-13 12:00:00,2015-04-13 12:00:00,1,120792.0,120781.0,120252.7835996058,122140.0410009855,120245.7835996058,SL,-1.012981800989145,308.1236573681149,h4,2015
USDJPY,2015-05-20 08:00:00,2015-05-20 08:00:00,2015-05-22 16:00:00,1,120967.0,120961.0,120510.43348778345,122108.41628054138,121467.0,FRIDAY,1.095130690975531,260.8951498380293,h4,2015
USDJPY,2015-05-26 08:00:00,2015-05-26 08:00:00,2015-05-26 12:00:00,1,121853.0,121846.0,121438.7195815965,122888.70104600876,122881.70104600876,TP,2.4831032322817164,236.73166765914502,h4,2015
USDJPY,2015-07-15 16:00:00,2015-07-15 16:00:00,2015-07-17 16:00:00,1,123754.0,123745.0,123159.46523504879,125240.33691237803,124072.0,FRIDAY,0.5348720020200939,339.73415140069187,h4,2015
USDJPY,2015-07-20 12:00:00,2015-07-20 12:00:00,2015-07-21 16:00:00,1,124272.0,124264.0,123884.13345076852,125241.66637307871,123877.13345076852,SL,-1.0180474444467114,221.638028132276,h4,2015
USDJPY,2015-07-30 12:00:00,2015-07-30 12:00:00,2015-07-31 12:00:00,1,124191.0,124186.0,123744.69483498801,125306.76291252996,123737.69483498801,SL,-1.0156843356267602,255.03152286399097,h4,2015
USDJPY,2015-11-05 12:00:00,2015-11-05 12:00:00,2015-11-06 16:00:00,1,121899.0,121893.0,121382.20870642751,123190.97823393121,122790.0,FRIDAY,1.7241002530067464,295.30931061284684,h4,2015
USDJPY,2015-11-09 12:00:00,2015-11-09 12:00:00,2015-11-09 16:00:00,1,123548.0,123538.0,122979.98167385969,124968.04581535081,122972.98167385969,SL,-1.012323546050984,324.58190065161216,h4,2015
USDJPY,2015-11-17 08:00:00,2015-11-17 08:00:00,2015-11-19 16:00:00,1,123397.0,123388.0,122944.09498413828,124529.26253965427,122937.09498413828,SL,-1.0154557793684154,258.80286620669153,h4,2015
USDJPY,2015-12-02 16:00:00,2015-12-02 16:00:00,2015-12-03 12:00:00,1,123365.0,123358.0,122979.39068016189,124329.02329959528,122972.39068016189,SL,-1.0181530882161696,220.34818276463696,h4,2015
USDJPY,2016-02-09 08:00:00,2016-02-09 08:00:00,2016-02-11 08:00:00,-1,114824.0,114832.0,115990.08678039546,111908.78304901134,111915.78304901134,TP,2.4939970162446876,666.3353030831216,h4,2016
USDJPY,2016-03-17 08:00:00,2016-03-17 08:00:00,2016-03-18 16:00:00,-1,112172.0,112177.0,113030.50864825613,110025.72837935966,111484.0,FRIDAY,0.8013897138922432,490.5763704320768,h4,2016
USDJPY,2016-03-30 12:00:00,2016-03-30 12:00:00,2016-04-01 16:00:00,-1,112214.0,112221.0,112823.62283569928,110689.94291075181,112056.0,FRIDAY,0.2591766429135883,348.35590611387124,h4,2016
USDJPY,2016-04-05 08:00:00,2016-04-05 08:00:00,2016-04-07 04:00:00,-1,110861.0,110868.0,111488.71521250923,109291.71196872693,109298.71196872693,TP,2.4888484461416476,358.69440714813123,h4,2016
USDJPY,2016-04-07 08:00:00,2016-04-07 08:00:00,2016-04-08 16:00:00,-1,109086.0,109093.0,109858.19001407233,107155.5249648192,108706.0,FRIDAY,0.4921068559226527,441.2514366127562,h4,2016
USDJPY,2016-04-28 12:00:00,2016-04-28 12:00:00,2016-04-29 16:00:00,-1,108114.0,108121.0,109188.3231055504,105428.19223612401,107233.0,FRIDAY,0.8200512447776586,613.8989174573677,h4,2016
USDJPY,2016-05-03 08:00:00,2016-05-03 08:00:00,2016-05-04 00:00:00,-1,105985.0,105992.0,106837.47466342179,103853.81334144551,106844.47466342179,SL,-1.0082113877401306,487.12837909816824,h4,2016
USDJPY,2016-06-13 08:00:00,2016-06-13 08:00:00,2016-06-16 08:00:00,-1,105919.0,105926.0,106692.41888574374,103985.45278564065,103992.45278564065,TP,2.490949277126493,441.95364899642374,h4,2016
USDJPY,2016-06-16 12:00:00,2016-06-16 12:00:00,2016-06-17 16:00:00,-1,104130.0,104139.0,105013.22585767192,101921.93535582021,104327.0,FRIDAY,-0.2230460060570131,504.7004900982357,h4,2016
USDJPY,2016-07-05 08:00:00,2016-07-05 08:00:00,2016-07-06 12:00:00,-1,102012.0,102020.0,102629.17636629817,100469.0590842546,100476.0590842546,TP,2.4886580232454603,352.672209313237,h4,2016
USDJPY,2016-08-02 12:00:00,2016-08-02 12:00:00,2016-08-05 16:00:00,-1,101719.0,101727.0,102873.35458132144,98833.11354669639,101562.0,FRIDAY,0.13600673704631983,659.6311893265383,h4,2016
USDJPY,2016-08-16 08:00:00,2016-08-16 08:00:00,2016-08-19 16:00:00,-1,100513.0,100520.0,101168.43293656941,98874.41765857647,100294.0,FRIDAY,0.33413029431548275,374.5331066110947,h4,2016
USDJPY,2016-12-12 12:00:00,2016-12-12 12:00:00,2016-12-12 16:00:00,1,115838.0,115831.0,114990.95927545309,117955.60181136726,114983.95927545309,SL,-1.008264065465976,484.0232711696612,h4,2016
USDJPY,2016-12-15 12:00:00,2016-12-15 12:00:00,2016-12-16 16:00:00,1,117895.0,117887.0,116908.18220832101,120362.04447919746,118109.0,FRIDAY,0.21685867624650096,563.8958809594199,h4,2016
USDJPY,2017-01-27 08:00:00,2017-01-27 08:00:00,2017-01-27 16:00:00,1,115041.0,115033.0,114107.82309180734,117373.94227048165,115167.0,FRIDAY,0.13502262957195518,533.2439475386631,h4,2017
USDJPY,2017-03-09 12:00:00,2017-03-09 12:00:00,2017-03-10 16:00:00,1,114839.0,114831.0,114235.69630470777,116347.25923823059,115234.0,FRIDAY,0.6547282953549068,344.74496873841895,h4,2017
USDJPY,2017-05-02 12:00:00,2017-05-02 12:00:00,2017-05-05 16:00:00,1,112175.0,112167.0,111631.15275501028,113534.61811247433,112529.0,FRIDAY,0.6509180716851568,310.7698542798456,h4,2017
USDJPY,2017-05-09 12:00:00,2017-05-09 12:00:00,2017-05-12 16:00:00,1,113645.0,113639.0,113108.60818307629,114985.97954230929,113350.0,FRIDAY,-0.5499711045031737,306.50960967069466,h4,2017
USDJPY,2017-06-29 12:00:00,2017-06-29 12:00:00,2017-06-29 16:00:00,1,112561.0,112553.0,112026.76808200781,113896.57979498048,112019.76808200781,SL,-1.0131029235885158,305.2753817098244,h4,2017
USDJPY,2017-07-03 16:00:00,2017-07-03 16:00:00,2017-07-07 16:00:00,1,112989.0,112982.0,112370.65021686305,114534.87445784235,113911.0,FRIDAY,1.4910654537996566,353.34273322110835,h4,2017
USDJPY,2017-07-11 08:00:00,2017-07-11 08:00:00,2017-07-11 16:00:00,1,114350.0,114343.0,113840.07701573076,115624.80746067312,113833.07701573076,SL,-1.013727563212371,291.38456243956966,h4,2017
USDJPY,2017-08-18 12:00:00,2017-08-18 12:00:00,2017-08-18 16:00:00,-1,108980.0,108990.0,109600.79060521805,107428.02348695487,108865.0,FRIDAY,0.18524764877781424,354.7374886960284,h4,2017
USDJPY,2017-09-05 08:00:00,2017-09-05 08:00:00,2017-09-08 08:00:00,-1,109338.0,109345.0,109930.00643178851,107857.98392052873,107864.98392052873,TP,2.4881758041397424,338.2893895934335,h4,2017
USDJPY,2017-09-08 12:00:00,2017-09-08 12:00:00,2017-09-08 16:00:00,-1,107684.0,107692.0,108348.46075425732,106022.8481143567,107704.0,FRIDAY,-0.030099595607199357,379.69185957561143,h4,2017
USDJPY,2017-10-18 12:00:00,2017-10-18 12:00:00,2017-10-20 16:00:00,1,112659.0,112654.0,112225.56686271343,113742.58284321641,113282.0,FRIDAY,1.4373612592248581,247.67607844946656,h4,2017
USDJPY,2017-10-25 12:00:00,2017-10-25 12:00:00,2017-10-25 16:00:00,1,114129.0,114123.0,113595.41712471448,115462.9571882138,113588.41712471448,SL,-1.0131188618005227,304.90450016315407,h4,2017
USDJPY,2017-12-08 08:00:00,2017-12-08 08:00:00,2017-12-08 16:00:00,1,113395.0,113389.0,112905.64734102756,114618.3816474311,113329.0,FRIDAY,-0.13487205758437867,279.6300908413954,h4,2017
USDJPY,2017-12-20 12:00:00,2017-12-20 12:00:00,2017-12-22 16:00:00,1,113158.0,113151.0,112750.71628880526,114176.20927798685,113377.0,FRIDAY,0.537708712576737,232.73354925413796,h4,2017
USDJPY,2018-02-13 12:00:00,2018-02-13 12:00:00,2018-02-16 04:00:00,-1,107646.0,107653.0,108402.59865602267,105754.50335994331,105761.50335994331,TP,2.4907480670970226,432.3420891558163,h4,2018
USDJPY,2018-02-16 08:00:00,2018-02-16 08:00:00,2018-02-16 16:00:00,-1,105786.0,105793.0,106626.55685700396,103684.60785749012,106157.0,FRIDAY,-0.4413740687600556,480.3182040022602,h4,2018
USDJPY,2018-03-02 08:00:00,2018-03-02 08:00:00,2018-03-02 16:00:00,-1,105785.0,105792.0,106388.72744231882,104275.68139420294,105428.0,FRIDAY,0.591326441330577,344.9871098964695,h4,2018
USDJPY,2018-03-16 12:00:00,2018-03-16 12:00:00,2018-03-16 16:00:00,-1,105706.0,105712.0,106309.62109570071,104196.94726074823,106058.0,FRIDAY,-0.5831472798202739,344.92634040040343,h4,2018
USDJPY,2018-03-22 16:00:00,2018-03-22 16:00:00,2018-03-23 16:00:00,-1,105432.0,105440.0,106032.53055329248,103930.67361676878,105152.0,FRIDAY,0.4662543786737638,343.1603161671353,h4,2018
USDJPY,2018-07-10 08:00:00,2018-07-10 08:00:00,2018-07-11 00:00:00,1,111166.0,111159.0,110802.7320544808,112074.16986379802,110795.7320544808,SL,-1.0192695229136968,207.5816831538306,h4,2018
USDJPY,2018-07-12 08:00:00,2018-07-12 08:00:00,2018-07-13 16:00:00,1,112200.0,112193.0,111712.26653713651,113419.3336571587,112502.0,FRIDAY,0.6191906502107913,278.70483592198946,h4,2018
USDJPY,2018-07-31 12:00:00,2018-07-31 12:00:00,2018-08-03 16:00:00,1,111542.0,111535.0,111070.615213304,112720.46196674001,111443.0,FRIDAY,-0.21001950591978988,269.3627352548586,h4,2018
USDJPY,2018-09-21 08:00:00,2018-09-21 08:00:00,2018-09-21 16:00:00,1,112735.0,112726.0,112345.73243909363,113708.16890226593,112710.0,FRIDAY,-0.06422317837579405,222.43860623221076,h4,2018
USDJPY,2018-09-28 08:00:00,2018-09-28 08:00:00,2018-09-28 16:00:00,1,113531.0,113524.0,113152.2999446558,114477.75013836051,113372.0,FRIDAY,-0.4198573455593556,216.4000316252614,h4,2018
USDJPY,2018-10-01 08:00:00,2018-10-01 08:00:00,2018-10-02 16:00:00,1,113933.0,113926.0,113545.91666877801,114900.70832805499,113538.91666877801,SL,-1.0180839613472887,221.1904749839959,h4,2018
USDJPY,2018-10-22 12:00:00,2018-10-22 12:00:00,2018-10-23 08:00:00,1,112769.0,112761.0,112355.31022840839,113803.22442897903,112348.31022840839,SL,-1.0169208921290753,236.39415519520546,h4,2018
USDJPY,2018-10-30 12:00:00,2018-10-30 12:00:00,2018-11-02 16:00:00,1,112807.0,112800.0,112276.17086173916,114134.07284565212,112923.0,FRIDAY,0.2185260597789529,303.3309361490557,h4,2018
USDJPY,2018-11-28 08:00:00,2018-11-28 08:00:00,2018-11-28 16:00:00,1,113887.0,113880.0,113566.57697627513,114688.05755931219,113559.57697627513,SL,-1.021846120539717,183.0988706999292,h4,2018
USDJPY,2018-12-13 16:00:00,2018-12-13 16:00:00,2018-12-14 16:00:00,1,113531.0,113524.0,113156.76161110462,114466.59597223846,113625.0,FRIDAY,0.2511767974350629,213.85050794021907,h4,2018
USDJPY,2019-01-31 08:00:00,2019-01-31 08:00:00,2019-02-01 16:00:00,-1,108727.0,108733.0,109165.36994423307,107631.07513941731,108984.0,FRIDAY,-0.5862628206630831,250.4971109903276,h4,2019
USDJPY,2019-05-28 12:00:00,2019-05-28 12:00:00,2019-05-28 16:00:00,-1,109218.0,109224.0,109563.81754609209,108353.45613476977,109570.81754609209,SL,-1.0202418878946513,197.61002633833752,h4,2019
USDJPY,2019-05-31 08:00:00,2019-05-31 08:00:00,2019-05-31 16:00:00,-1,109004.0,109011.0,109426.92676681739,107946.68308295653,108802.0,FRIDAY,0.47762406130047314,241.67243818136575,h4,2019
USDJPY,2019-06-03 08:00:00,2019-06-03 08:00:00,2019-06-06 20:00:00,-1,108060.0,108066.0,108490.8388617061,106982.90284573476,108497.8388617061,SL,-1.0162473737217725,246.1936352606269,h4,2019
USDJPY,2019-06-21 08:00:00,2019-06-21 08:00:00,2019-06-21 12:00:00,-1,107092.0,107096.0,107556.14307660649,105931.64230848379,107563.14307660649,SL,-1.015081556426917,265.2246152037052,h4,2019
USDJPY,2019-07-18 08:00:00,2019-07-18 08:00:00,2019-07-19 16:00:00,-1,107697.0,107704.0,108037.08861751895,106846.77845620262,107740.0,FRIDAY,-0.12643763356062288,194.3363528679722,h4,2019
USDJPY,2019-08-05 08:00:00,2019-08-05 08:00:00,2019-08-06 04:00:00,-1,106029.0,106036.0,106670.79968442387,104424.50078894035,106677.79968442387,SL,-1.0109068299188835,366.74267681363534,h4,2019
