event,horizon,dispersion_regime,event_count,mean_forward_return,median_forward_return,standard_error,t_statistic,directional_probability,p25,p50,p75,pair_breadth_same_sign,year_breadth_same_sign
m15_shock_up_gt_2_0,4,not_applicable,11611,0.12597584880272247,-0.0566430538536499,0.03414239217884739,3.6897194591060223,0.48410989578847646,-1.1940203657247173,-0.0566430538536499,1.2247059425789422,10,3
fvg_up,4,not_applicable,189550,-0.016591879561068976,-0.0583283258072223,0.0038124357830386204,-4.3520417143511265,0.47427591664468477,-0.7742476049153331,-0.0583283258072223,0.7005941108770323,11,4
breaker_down,2,not_applicable,110589,0.046815210131572006,0.0924580595798293,0.004251763443226161,11.01077488357383,0.45291122986915516,-0.539640195831221,0.0924580595798293,0.6757801766774068,15,5
breaker_up,2,not_applicable,111631,-0.027987004096814757,-0.0816789669614215,0.0036170810848553097,-7.737455545023893,0.4575879460006629,-0.6429280696640676,-0.0816789669614215,0.536079082073083,13,5
ny_open_range_break_up,16,not_applicable,598708,-0.01469430582422582,0.0,0.005936726939357588,-2.4751527187160622,0.4746971812636544,-1.5669714539580593,0.0,1.5073203830860753,9,3
m15_shock_up_0_5_1_0,8,not_applicable,245615,-0.04214693724685872,-0.0613955330079315,0.004665859456725876,-9.033049031535562,0.4815544653217434,-1.1075455999114348,-0.0613955330079315,1.020403757072235,15,5
fvg_down,16,not_applicable,178568,0.043334349173841914,0.07725209710343481,0.008242631546605018,5.257343959732193,0.48090923345728237,-1.4624926455864389,0.07725209710343481,1.5612232871938139,13,4
fvg_up_h1_up,8,not_applicable,89408,-0.015473846743984393,-0.06564659013681975,0.008508910033577056,-1.8185462865305853,0.4794761095204009,-1.1097044511150969,-0.06564659013681975,1.045151874458542,8,3
breaker_down,4,not_applicable,110143,0.06057188807710849,0.1084067599709961,0.005590996858257664,10.833826169593781,0.46074648411610364,-0.7500564585495441,0.1084067599709961,0.9161917094234253,14,5
ny_open_extreme_up,4,not_applicable,553251,0.005527431423229703,0.0,0.001928271049435945,2.8665220197371,0.4626489604176043,-0.6561100344231445,0.0,0.6512119601753258,8,3
m15_shock_down_gt_2_0,16,not_applicable,11303,0.2672396588192487,0.1601109793945044,0.0919118060618539,2.9075661796853867,0.5195965672830222,-1.9798698073159748,0.1601109793945044,2.219728901340077,11,3
breaker_up,8,not_applicable,109903,-0.041836755407579126,-0.09577881740039,0.007710938706754953,-5.42563713688052,0.4747550112371819,-1.2014280791242462,-0.09577881740039,1.1058860802431312,13,4
m15_shock_up_1_5_2_0,16,not_applicable,19297,-0.08661880752818217,-0.1056389308714615,0.03133936324880399,-2.763898131576997,0.48230294864486706,-1.843911180075608,-0.1056389308714615,1.7678223517237834,12,4
london_open_extreme_up,4,not_applicable,516822,0.011656655103745573,0.0,0.0020873861285334353,5.584331017824362,0.4773500354087094,-0.6715675373951719,0.0,0.6876596961588557,12,4
ny_open_sweep_low,2,not_applicable,85053,-0.015855869289500467,-0.0076704877269937,0.004174408527289272,-3.7983511162949744,0.4917757163180605,-0.54702331774622,-0.0076704877269937,0.5266533748218157,12,4
asia_range_break_down,8,not_applicable,612702,0.006678279356127295,0.0,0.0028037547469782252,2.381905679633669,0.46935214835270656,-0.9186450187979779,0.0,0.9894402040849862,8,3
asia_sweep_low,1,not_applicable,72062,-0.0216965873005137,-0.0209506653266213,0.0034995327580962005,-6.199852608985714,0.4801143459798507,-0.43654187560203805,-0.0209506653266213,0.39358032302784063,14,5
asia_extreme_down,4,not_applicable,569041,0.006694697413965283,0.0,0.0019618475090042494,3.41244535227064,0.4753892953231841,-0.6847209324054432,0.0,0.7066440010406019,11,5
london_body_range_break_down,16,not_applicable,564956,0.026566905850909078,0.0,0.00448696134017983,5.920912581307046,0.4627404612040584,-1.3945870664972913,0.0,1.5106462786984431,9,3
asia_range_break_up,1,not_applicable,643167,0.0004257832384160655,0.0,0.001302162424484363,0.3269816655819026,0.4736810190821357,-0.3638710267839597,0.0,0.3422954074838581,7,2
mss_down,2,not_applicable,241021,0.061217140322805945,0.0972392497398825,0.003142649315585799,19.479469127911553,0.44595699129951333,-0.477483109958929,0.0972392497398825,0.6349221691978449,15,5
london_body_range_break_up,1,not_applicable,623302,-0.002427052383649183,0.0,0.001311677281070224,-1.8503426251836137,0.4670288239087954,-0.37451955640953255,0.0,0.3451312921272769,12,4
mss_up,2,not_applicable,243523,-0.03968965175693316,-0.0881084666592407,0.0026184631602328185,-15.157613198348068,0.45127975591627895,-0.6154930519170729,-0.0881084666592407,0.4824944497954132,14,5
atr_compression,8,not_applicable,549070,6153.434418796142,0.0,495.69587485871494,12.413729326575528,0.3330722858651902,-0.49323868473442045,0.0,0.5416839226295178,13,4
m15_shock_up_1_0_1_5,4,not_applicable,71219,-0.04944634054588806,-0.0934329055570291,0.007812766176941903,-6.328915959602225,0.4675016498406324,-0.9237085367770078,-0.0934329055570291,0.7896699842119669,14,4
m15_shock_up_1_0_1_5,1,not_applicable,71676,-0.04120922265079973,-0.08010090943585935,0.003337991556202731,-12.345514348058739,0.44551872314303254,-0.5151778003969366,-0.08010090943585935,0.38599646168888424,15,5
asia_extreme_down,16,not_applicable,549768,0.046182409248345255,0.0,0.005772430824740777,8.000513241389804,0.47366707411126147,-1.4364208445040978,0.0,1.5101800409465367,11,5
mss_down,16,not_applicable,230871,0.09130844927322257,0.1445918250587489,0.008308909946649142,10.98922119261214,0.4716140182179659,-1.4779654715996855,0.1445918250587489,1.6790181660060832,15,5
fvg_down_h1_down,8,not_applicable,86380,0.037158314488534724,0.09987744984952371,0.008677262803251264,4.282262198467927,0.47003936096318594,-1.00197593434222,0.09987744984952371,1.1338995861047532,9,3
ob_candidate_up,16,not_applicable,205081,-0.07010312452667372,-0.1022511937982308,0.007583802221002509,-9.243796513117232,0.4799713284019485,-1.62803715663548,-0.1022511937982308,1.5154274770326188,15,4
sweep_then_mss_up,1,not_applicable,40177,-0.04064225523953282,-0.0743560666026861,0.004316959281433406,-9.414556077544919,0.44438360255867787,-0.469223941649068,-0.0743560666026861,0.3504384330811321,15,5
atr_expansion,2,not_applicable,494075,0.00287510567670545,0.0072037305099907,0.0013801188073899393,2.083230560521676,0.5010939634670849,-0.5028422606253897,0.0072037305099907,0.514281454710673,10,3
atr_compression,2,not_applicable,558296,1021.5817139439587,0.0,292.2674636500698,3.4953658583327383,0.32459662974479486,-0.22146450901141276,0.0,0.2288403480954892,14,3
ote_up,2,not_applicable,101,2.311024553732716,0.7179546103455365,0.6023458156113313,3.8367072433087572,0.594059405940594,-0.9894833740062056,0.7179546103455365,3.653244654626685,14,4
sweep_then_mss_down,16,not_applicable,39533,0.04367767806076344,0.1152897830137342,0.020996602310259106,2.080226001109817,0.47722156173323554,-1.520078549703004,0.1152897830137342,1.6433118407050669,10,4
london_body_range_break_down,2,not_applicable,591237,0.01028636106746485,0.0,0.0015651461186111787,6.5721410577258945,0.4609437501374237,-0.4738929429047965,0.0,0.523987664084984,14,5
london_body_range_break_down,8,not_applicable,579918,0.01935349916264735,0.0,0.0029316881864407045,6.601486219495938,0.46103587058860046,-0.939923350956939,0.0,1.0322730847008417,10,4
asia_sweep_low,4,not_applicable,71517,-0.02778796572787874,-0.0178329947264367,0.007049261328467042,-3.9419684464899265,0.490834347078317,-0.8431338018298424,-0.0178329947264367,0.7783484910802195,12,4
london_body_range_break_up,8,not_applicable,611078,0.002909613614796977,0.0,0.003008819996243337,0.9670281434016577,0.4699285524924805,-1.0278940513502541,0.0,0.9851234173621718,8,3
ny_open_range_break_down,2,not_applicable,575696,0.014596950511165968,0.0,0.001619767804493431,9.011754938375901,0.45957241321808734,-0.48502724322890767,0.0,0.5418963712060174,15,5
london_open_range_break_up,16,not_applicable,655326,0.02876067299990561,0.0,0.005611349021475896,5.125447176754117,0.47821694851112273,-1.4247936345342564,0.0,1.451770272906891,10,4
ny_open_extreme_up,1,not_applicable,558509,0.0010780260790386451,0.0,0.0009461468313824,1.1393856040965211,0.46098809508888844,-0.3366785200691212,0.0,0.3348556057222165,8,3
m15_shock_down_1_0_1_5,16,not_applicable,69552,0.05700097739562195,0.1251019030843615,0.014316951076953013,3.981362867641587,0.5198412698412699,-1.6441972550809834,0.1251019030843615,1.7935757232800795,13,4
m15_shock_down_0_5_1_0,1,not_applicable,246903,0.03642990557028881,0.0550846728466327,0.0015547948570499644,23.430683093080305,0.535651652673317,-0.33705117968909026,0.0550846728466327,0.4380148266087325,15,5
